year,avg_temp
1841,14.50
1842,15.06
1843,15.16
1844,14.98
1845,15.04
1846,15.51
1847,15.40
1848,14.71
1849,15.07
1850,15.16
1851,14.88
1852,15.06
1853,15.42
1854,15.58
1855,15.41
1856,15.10
1857,15.47
1858,15.13
1859,15.32
1860,14.70
1861,14.90
1862,14.14
1863,14.88
1864,14.52
1865,15.35
1866,15.21
1867,15.60
1868,15.52
1869,15.74
1870,15.59
1871,15.88
1872,15.73
1873,15.41
1874,15.36
1875,15.18
1876,15.28
1877,15.07
1878,15.11
1879,15.72
1880,14.88
1881,15.27
1882,15.16
1883,15.00
1884,14.55
1885,14.56
1886,14.70
1887,15.22
1888,15.44
1889,15.00
1890,15.77
1891,15.40
1892,15.09
1893,14.77
1894,15.75
1895,14.89
1896,15.34
1897,15.23
1898,15.93
1899,15.53
1900,15.39
1901,14.98
1902,15.95
1903,15.21
1904,15.30
1905,14.98
1906,15.03
1907,15.26
1908,15.36
1909,15.48
1910,14.83
1911,15.02
1912,15.22
1913,15.05
1914,16.13
1915,15.63
1916,15.19
1917,14.85
1918,15.13
1919,15.60
1920,15.61
1921,15.19
1922,15.72
1923,15.58
1924,15.41
1925,15.43
1926,15.69
1927,15.93
1928,15.90
1929,15.55
1930,15.52
1931,15.19
1932,15.67
1933,15.43
1934,15.56
1935,16.04
1936,15.05
1937,15.70
1938,16.06
1939,15.79
1940,15.97
1941,16.12
1942,15.90
1943,15.70
1944,15.80
1945,15.71
1946,16.41
1947,15.71
1948,16.09
1949,16.16
1950,15.97
1951,15.86
1952,15.58
1953,16.67
1954,15.40
1955,15.68
1956,15.18
1957,15.18
1958,15.68
1959,16.10
1960,16.10
1961,16.69
1962,15.84
1963,15.86
1964,16.12
1965,15.73
1966,16.15
1967,15.74
1968,15.86
1969,15.21
1970,15.41
1971,15.77
1972,15.32
1973,15.94
1974,15.56
1975,16.02
1976,15.47
1977,15.71
1978,16.43
1979,16.20
1980,15.17
1981,15.53
1982,15.79
1983,15.87
1984,15.29
1985,15.58
1986,15.59
1987,15.83
1988,15.79
1989,15.83
1990,16.66
1991,15.71
1992,15.83
1993,15.58
1994,16.93
1995,16.07
1996,15.82
1997,16.41
1998,17.11
1999,16.33
2000,16.48
2001,16.47
2002,16.81
2003,16.32
2004,16.86
2005,16.41
2006,17.02
2007,17.24
2008,16.34
2009,16.63
2010,16.44
2011,16.22
2012,16.13
2013,17.88
